,hpso01 (Ingest) [],hpso01 (RCAL) [],hpso01 (FastImg) [],hpso01 (ICAL) [],hpso01 (DPrepA) [],hpso01 (DPrepB) [],hpso01 (DPrepC) [],hpso01 (DPrepD) [],hpso02a (Ingest) [],hpso02a (RCAL) [],hpso02a (FastImg) [],hpso02a (ICAL) [],hpso02a (DPrepA) [],hpso02a (DPrepB) [],hpso02a (DPrepC) [],hpso02a (DPrepD) [],hpso02b (Ingest) [],hpso02b (RCAL) [],hpso02b (FastImg) [],hpso02b (ICAL) [],hpso02b (DPrepA) [],hpso02b (DPrepB) [],hpso02b (DPrepC) [],hpso02b (DPrepD) [],hpso04a (Ingest) [],hpso04a (RCAL) [],hpso04a (FastImg) [],hpso04a (PSS) [],hpso04b (Ingest) [],hpso04b (RCAL) [],hpso04b (FastImg) [],hpso04b (PSS) [],hpso04c (Ingest) [],hpso04c (RCAL) [],hpso04c (FastImg) [],hpso04c (PSS) [],hpso05a (Ingest) [],hpso05a (RCAL) [],hpso05a (FastImg) [],hpso05a (PST) [],hpso05b (Ingest) [],hpso05b (RCAL) [],hpso05b (FastImg) [],hpso05b (PST) [],hpso13 (Ingest) [] [Bmax=35000],hpso13 (RCAL) [] [Bmax=35000],hpso13 (FastImg) [] [Bmax=35000],hpso13 (ICAL) [] [Bmax=35000],hpso13 (DPrepA) [] [Bmax=35000],hpso13 (DPrepB) [] [Bmax=35000],hpso13 (DPrepC) [] [Bmax=35000],hpso14 (Ingest) [] [Bmax=25000],hpso14 (RCAL) [] [Bmax=25000],hpso14 (FastImg) [] [Bmax=25000],hpso14 (ICAL) [] [Bmax=25000],hpso14 (DPrepA) [] [Bmax=25000],hpso14 (DPrepB) [] [Bmax=25000],hpso14 (DPrepC) [] [Bmax=25000],hpso15 (Ingest) [] [Bmax=15000],hpso15 (RCAL) [] [Bmax=15000],hpso15 (FastImg) [] [Bmax=15000],hpso15 (ICAL) [] [Bmax=15000],hpso15 (DPrepA) [] [Bmax=15000],hpso15 (DPrepB) [] [Bmax=15000],hpso15 (DPrepC) [] [Bmax=15000],hpso18 (Ingest) [],hpso18 (RCAL) [],hpso18 (FastImg) [],hpso18 (SinglePulse) [],hpso22 (Ingest) [],hpso22 (RCAL) [],hpso22 (FastImg) [],hpso22 (ICAL) [],hpso22 (DPrepA) [],hpso22 (DPrepB) [],hpso27and33 (Ingest) [] [Bmax=30000],hpso27and33 (RCAL) [] [Bmax=30000],hpso27and33 (FastImg) [] [Bmax=30000],hpso27and33 (ICAL) [] [Bmax=30000],hpso27and33 (DPrepA) [] [Bmax=30000],hpso27and33 (DPrepB) [] [Bmax=30000],hpso32 (Ingest) [] [Bmax=20000],hpso32 (RCAL) [] [Bmax=20000],hpso32 (FastImg) [] [Bmax=20000],hpso32 (ICAL) [] [Bmax=20000],hpso32 (DPrepB) [] [Bmax=20000],hpso37a (Ingest) [] [Bmax=120000],hpso37a (RCAL) [] [Bmax=120000],hpso37a (FastImg) [] [Bmax=120000],hpso37a (ICAL) [] [Bmax=120000],hpso37a (DPrepA) [] [Bmax=120000],hpso37a (DPrepB) [] [Bmax=120000],hpso37b (Ingest) [] [Bmax=120000],hpso37b (RCAL) [] [Bmax=120000],hpso37b (FastImg) [] [Bmax=120000],hpso37b (ICAL) [] [Bmax=120000],hpso37b (DPrepA) [] [Bmax=120000],hpso37b (DPrepB) [] [Bmax=120000],hpso37c (Ingest) [] [Bmax=120000],hpso37c (RCAL) [] [Bmax=120000],hpso37c (FastImg) [] [Bmax=120000],hpso37c (ICAL) [] [Bmax=120000],hpso37c (DPrepA) [] [Bmax=120000],hpso37c (DPrepB) [] [Bmax=120000],hpso38a (Ingest) [],hpso38a (RCAL) [],hpso38a (FastImg) [],hpso38a (ICAL) [],hpso38a (DPrepA) [],hpso38a (DPrepB) [],hpso38b (Ingest) [],hpso38b (RCAL) [],hpso38b (FastImg) [],hpso38b (ICAL) [],hpso38b (DPrepA) [],hpso38b (DPrepB) [],max_low (Ingest) [],max_low (RCAL) [],max_low (FastImg) [],max_low (ICAL) [],max_low (DPrepA) [],max_low (DPrepA_Image) [],max_low (DPrepB) [],max_low (DPrepC) [],max_low (DPrepD) [],max_mid_band1 (Ingest) [],max_mid_band1 (RCAL) [],max_mid_band1 (FastImg) [],max_mid_band1 (ICAL) [],max_mid_band1 (DPrepA) [],max_mid_band1 (DPrepA_Image) [],max_mid_band1 (DPrepB) [],max_mid_band1 (DPrepC) [],max_mid_band1 (DPrepD) [],max_mid_band2 (Ingest) [],max_mid_band2 (RCAL) [],max_mid_band2 (FastImg) [],max_mid_band2 (ICAL) [],max_mid_band2 (DPrepA) [],max_mid_band2 (DPrepA_Image) [],max_mid_band2 (DPrepB) [],max_mid_band2 (DPrepC) [],max_mid_band2 (DPrepD) [],max_mid_band5a_1 (Ingest) [],max_mid_band5a_1 (RCAL) [],max_mid_band5a_1 (FastImg) [],max_mid_band5a_1 (ICAL) [],max_mid_band5a_1 (DPrepA) [],max_mid_band5a_1 (DPrepA_Image) [],max_mid_band5a_1 (DPrepB) [],max_mid_band5a_1 (DPrepC) [],max_mid_band5a_1 (DPrepD) [],max_mid_band5a_2 (Ingest) [],max_mid_band5a_2 (RCAL) [],max_mid_band5a_2 (FastImg) [],max_mid_band5a_2 (ICAL) [],max_mid_band5a_2 (DPrepA) [],max_mid_band5a_2 (DPrepA_Image) [],max_mid_band5a_2 (DPrepB) [],max_mid_band5a_2 (DPrepC) [],max_mid_band5a_2 (DPrepD) [],max_mid_band5b_1 (Ingest) [],max_mid_band5b_1 (RCAL) [],max_mid_band5b_1 (FastImg) [],max_mid_band5b_1 (ICAL) [],max_mid_band5b_1 (DPrepA) [],max_mid_band5b_1 (DPrepA_Image) [],max_mid_band5b_1 (DPrepB) [],max_mid_band5b_1 (DPrepC) [],max_mid_band5b_1 (DPrepD) [],max_mid_band5b_2 (Ingest) [],max_mid_band5b_2 (RCAL) [],max_mid_band5b_2 (FastImg) [],max_mid_band5b_2 (ICAL) [],max_mid_band5b_2 (DPrepA) [],max_mid_band5b_2 (DPrepA_Image) [],max_mid_band5b_2 (DPrepB) [],max_mid_band5b_2 (DPrepC) [],max_mid_band5b_2 (DPrepD) []
Frequencies backward kernels6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,129.647635684406,,,72.604752431891,64.4036339110544,,,,,,,173.009489549176,188.200083618798,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,129.647635684406,,,97.3432862516349,107.435040051644,97.3432862516349,103.533727430965,129.390676903446,,,,,,,,,,,,,149.60752979859,163.232761323337,149.607530718282,127.921333591767,165.243416559533,,149.60752979859,163.232761323337,149.607527785988,127.921333591767,165.243416561902,,149.60752979859,163.232761323337,149.607527785988,127.921333591767,165.243416561902,,112.029164029895,119.977082827159,103.966401407584,116.275778510928,153.882040013953,,112.029164029895,119.977082827159,112.029164029895,116.275778510928,153.882040013953,,,,,,,,,,,295.891610047585,447.424499348972,295.891610063381,286.257392846504,306.481956337679,322.077948613842,577.676475998626,,,173.009489549176,188.200083618798,173.009493009029,154.363973532466,165.84256274711,170.876030362665,311.148423188279,,,122.096939549752,116.172418651985,122.096939549752,117.268549374539,115.888818019583,115.888818019583,336.903494147366,,,89.6980042703699,92.6694766080799,89.6980042703699,95.4322614686958,112.379127159063,127.516089808529,232.240152355862,,,64.3959491369555,69.8357089861667,64.3959491369555,72.9898082290233,62.2947050399852,87.2938316255498,158.974696830109,,,42.9065525239907,46.7690294414939,42.9065525239907,48.2239045828091,48.2239045828091,48.2239045828091,87.809698951512,
Frequencies backward kernels7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,165.606913292857,,,72.604752431891,74.9391223610417,,,,,,,173.009489549176,222.6092701118,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,165.606913292857,,,105.258208009437,108.717558072844,105.258208009437,103.533727430965,150.628404881838,,,,,,,,,,,,,149.60752979859,194.308536010083,149.607530718282,127.921333591767,165.243416559533,,149.60752979859,194.308536010083,149.607527785988,127.921333591767,165.243416561902,,149.60752979859,194.308536010083,149.607527785988,127.921333591767,165.243416561902,,122.49907644779,121.732046061909,110.570178041566,116.275778510928,181.085436879841,,122.49907644779,121.732046061909,122.49907644779,116.275778510928,181.085436879841,,,,,,,,,,,295.891610047585,617.603173690336,295.891610063381,286.257392846504,306.481956337679,322.077948613842,659.072299096178,,,173.009489549176,222.6092701118,173.009493009029,154.363973532466,165.84256274711,193.020751125244,351.504579266077,,,127.267618108538,119.287082625495,127.267618118084,117.268549374539,129.626916123977,129.626916123977,407.492179948133,,,99.2858689102689,94.3419320602333,99.2858689102689,95.4322614686958,112.379127159063,151.622435330071,276.171152891722,,,70.0946830585313,70.7775857912081,70.0946830585313,72.9898082290233,66.9944621432703,102.291959031158,186.307030776214,,,46.5441592076414,47.0754442539329,46.5441592076414,50.2484278551781,54.2242184215994,54.2242184215994,98.7445668025493,
Frequencies backward kernels8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,200.65250412677,,,72.604752431891,85.9548182623982,,,,,,,173.009489549176,258.117459216814,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,200.65250412677,,,111.525615852762,110.242065663643,111.525615852762,103.533727430965,166.533468289439,,,,,,,,,,,,,149.60752979859,226.21705892807,149.607530718282,127.921333591767,165.243416559533,,149.60752979859,226.21705892807,149.607527785988,127.921333591767,165.243416561902,,149.60752979859,226.21705892807,149.607527785988,127.921333591767,165.243416561902,,130.716516394327,123.812470831183,115.870134455099,116.275778510928,201.303745585225,,130.716516394327,123.812470831183,130.716516394327,116.275778510928,201.303745585225,,,,,,,,,,,295.891610047585,775.171464961364,295.891610063381,286.257392846504,306.481956337679,322.077948613842,720.930072838476,,,173.009489549176,258.117459216814,173.009493009029,154.363973532466,165.84256274711,209.973425135663,382.398843008649,,,127.267618108538,122.934722266993,127.267618118084,117.268549374539,140.222125579197,140.222125579197,458.990744411256,,,106.739801426968,96.3177280683699,106.739801426968,95.4322614686958,112.379127159063,169.411037113835,308.588805927242,,,74.5834835844799,71.8954237588954,74.5834835844799,72.9898082290233,70.7322483308186,113.472065230425,206.681469516351,,,49.417231666618,47.4416662439883,49.417231666618,50.2484278551781,58.8335271550593,58.8335271550593,107.144492137352,
Frequencies backward kernels9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,256.071838140613,,,72.604752431891,104.297872060694,,,,,,,173.009489549176,316.612681808886,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,256.071838140613,,,120.150181186953,113.175861935479,120.150181186953,103.533727430965,187.509258789461,,,,,,,,,,,,,149.60752979859,278.575364363323,149.607530718282,127.921333591767,165.243416559533,,149.60752979859,278.575364363323,149.607527785988,127.921333591767,165.243416561902,,149.60752979859,278.575364363323,149.607527785988,127.921333591767,165.243416561902,,141.941110370424,127.799578059785,123.249652574299,116.275778510928,227.831945407506,,141.941110370424,127.799578059785,141.941110370424,116.275778510928,227.831945407506,,,,,,,,,,,295.891610047585,1017.02739495338,295.891610063381,286.257392846504,306.481956337679,322.077948613842,803.352291936172,,,173.009489549176,316.612681808886,173.009493009029,154.363973532466,165.84256274711,232.683326125489,423.784982776434,,,127.267618108538,129.802925547968,127.267618118084,117.268549374539,154.495000359439,154.495000359439,525.76749193704,,,116.843815218447,100.084931632271,116.843815218447,95.4322614686958,112.379127159063,192.642496773409,350.925435415683,,,80.7331664355962,74.041480230432,80.7331664355962,72.9898082290233,75.8951347273864,128.170305262969,233.467298453043,,,53.3623138730276,48.1524559546062,53.3623138730276,50.2484278551781,65.0240988408888,65.0240988408888,118.426085081304,
Frequencies backward kernels10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,319.73641250503,,,72.604752431891,126.190134402605,,,,,,,173.009489549176,385.832406344192,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,319.73641250503,,,128.955283995437,117.275545796661,128.955283995437,103.533727430965,208.136613126131,,,,,,,,,,,,,149.60752979859,308.388992646642,149.607530718282,127.921333591767,165.243416559533,,149.60752979859,308.388992646642,149.607527785988,127.921333591767,165.243416561902,,149.60752979859,308.388992646642,149.607527785988,127.921333591767,165.243416561902,,153.321095920518,133.3376742777,130.870681913262,116.275778510928,253.812580070068,,153.321095920518,133.3376742777,153.321095920518,116.275778510928,253.812580070068,,,,,,,,,,,295.891610047585,1289.6668966706,295.891610063381,286.257392846504,306.481956337679,322.077948613842,885.098465910932,,,173.009489549176,385.832406344192,173.009493009029,154.363973532466,165.84256274711,255.310127002909,465.019685619805,,,127.267618108538,139.112663280448,127.267618118084,117.268549374539,168.784960873014,168.784960873014,590.569518894284,,,127.016226321341,105.279457041182,127.016226321341,95.4322614686958,112.379127159063,215.310923694649,392.236005220003,,,86.985267983825,77.0298913828063,86.985267983825,72.9898082290233,81.1851413624765,142.587838233457,259.741572982441,,,57.3817006315654,49.1585558052726,57.3817006315654,50.2484278551781,71.2057806089568,71.2057806089568,129.691478124113,
Frequencies backward kernels11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,390.430920689451,,,72.604752431891,151.07288286258,,,,,,,173.009489549176,464.075029541715,,,,,,,,,,,,,,,,,,,,,,,,121.769959880848,390.430920689451,,,137.85165693164,122.642743309281,137.85165693164,103.533727430965,228.388866656377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.754332094705,140.535780185065,138.645257873918,116.275778510928,279.24706421693,,164.754332094705,140.535780185065,164.754332094705,116.275778510928,279.24706421693,,,,,,,,,,,295.891610047585,1589.35361613619,295.891610063381,286.257392846504,306.481956337679,322.077948613842,965.853814006436,,,173.009489549176,464.075029541715,173.009493009029,154.363973532466,165.84256274711,277.73858492429,505.892936955825,,,127.267618108538,150.885916098038,127.267618118084,117.268549374539,183.001778175041,183.00177709276,653.613449393172,,,137.179936266593,111.97379672544,137.179936266593,95.4322614686958,112.379127159063,237.446365553542,432.57527167231,,,93.2806130721841,80.9257457711241,93.2806130721841,72.9898082290233,86.5459351898907,156.717875388187,285.491920384231,,,61.4359263023422,50.4971019235444,61.4359263023422,50.2484278551781,77.3435483284633,77.343548165588,140.876842995293,
Frequencies backward grid0,32768,1648.21507448381,1186.6956875808,1648.21507448381,610.88622741501,610.88622741501,1500,(undefined),32768,1648.21507448381,1186.6956875808,1099.04101777485,610.88622741501,610.88622741501,1500,(undefined),32768,1648.21507448381,1186.6956875808,1099.04101777485,610.88622741501,610.88622741501,1500,(undefined),65536,1009.99105676829,727.181509263806,(undefined),65536,384.990392713642,1076.78666298988,(undefined),65536,221.013579285741,618.159383528168,(undefined),65536,1009.99105676829,727.181509263806,(undefined),65536,630.500997159299,1763.46414734684,(undefined),40000,261.211496322395,521.921234469855,261.211496322395,403.05407886701,403.05407886701,3200,65536,322.21899211774,643.82121327156,358.008708207243,497.190935682517,497.190935682517,5000,65536,257.954751253172,515.413904384666,716.378938060206,398.028810012534,398.028810012534,2500,65536,384.990392713642,1076.78666298988,(undefined),65536,579.548294519485,1157.98520099118,579.548294519485,894.254546870921,1000,65536,978.119279284014,1563.6046875956,1207.49244178862,1207.49244178862,1207.49244178862,65536,2034.5730199598,3252.43503881817,2511.68971455736,2511.68971455736,65536,652.167937578682,1563.6046875956,652.167937578682,483.156124399944,700,65536,652.167937578682,1563.6046875956,652.167937578682,483.156124399944,700,65536,652.167937578682,1563.6046875956,652.167937578682,483.156124399944,700,65536,653.595985645744,1305.94122113287,544.700977250144,1008.51304224142,1008.51304224142,65536,653.595985645744,1305.94122113287,653.595985645744,1008.51304224142,1008.51304224142,65536,2314.40462451979,1666.34431775178,2314.40462451979,857.799181953291,857.799181953291,857.799181953291,65536,(undefined),65536,904.559756397663,3252.43503881817,904.559756397663,1005.00538544895,1005.00538544895,753.891307268133,65536,(undefined),65536,630.500997159299,1763.46414734684,630.500997159299,544.919258619542,544.919258619542,500,65536,(undefined),65536,624.835380038471,1248.47407816841,624.835380038471,964.134265184431,578.56734944229,578.56734944229,65536,(undefined),65536,490.788362474591,980.633084749386,490.788362474591,757.294864883995,757.294864883995,757.294864883995,65536,(undefined),65536,387.897533035951,775.055240715682,387.897533035951,598.535806366293,359.17413165103,598.535806366293,65536,(undefined),65536,312.447576403555,499.4710456886,312.447576403555,385.716976496967,385.716976496967,500,65536,(undefined)
Frequencies backward grid1,32768,3295.7371475272,2372.69843039398,3295.7371475272,1221.07970081768,1221.07970081768,2372.69843039398,,32768,3295.7371475272,2372.69843039398,2197.38910692406,1221.07970081768,1221.07970081768,2372.69843039398,,32768,3295.7371475272,2372.69843039398,2197.38910692406,1221.07970081768,1221.07970081768,2372.69843039398,,65536,2019.55855345166,1453.9394929926,,65536,577.390742638464,1615.08513136614,,65536,331.466605621257,927.185302646027,,65536,2019.55855345166,1453.9394929926,,65536,945.597385834082,2645.04208421514,,40000,391.771146265715,782.835748970542,391.771146265715,604.535016900702,604.535016900702,3200,65536,483.272713019235,965.676039389778,536.957286080989,745.730624590305,745.730624590305,5000,65536,386.886555438563,773.075280666588,1074.5228299224,596.997640428862,596.997640428862,2500,65536,577.390742638464,1615.08513136614,,65536,869.221095200122,1736.87644506793,869.221095200122,1341.28046679575,1341.28046679575,65536,1467.04628185244,2345.27438683452,1811.10602181337,1811.10602181337,1811.10602181337,65536,3051.58491805976,4878.37793092413,3767.25995213129,3767.25995213129,65536,978.119279284014,2345.27438683452,978.119279284014,724.601570000923,724.601570000923,65536,978.119279284014,2345.27438683452,978.119279284014,724.601570000923,724.601570000923,65536,978.119279284014,2345.27438683452,978.119279284014,724.601570000923,724.601570000923,65536,980.28100389151,1958.79884628118,816.938495636486,1512.65658114707,1512.65658114707,65536,980.28100389151,1958.79884628118,980.28100389151,1512.65658114707,1512.65658114707,65536,4627.83649846154,3331.71596444879,4627.83649846154,1714.62596051276,1714.62596051276,1714.62596051276,65536,,65536,1356.56507416865,4878.37793092413,1356.56507416865,1507.23350848771,1507.23350848771,1130.56241898613,65536,,65536,945.597385834082,2645.04208421514,945.597385834082,817.224784599495,817.224784599495,612.99564172816,65536,,65536,937.144581373299,1872.60261811086,937.144581373299,1446.09290172461,867.742537153091,867.742537153091,65536,,65536,736.095484202492,1470.86255904086,736.095484202492,1135.85523177664,1135.85523177664,1135.85523177664,65536,,65536,581.780489308528,1162.51704462961,581.780489308528,897.73789493691,538.69538822344,897.73789493691,65536,,65536,468.627086529404,749.162287845708,468.627086529404,578.531185344861,578.531185344861,578.531185344861,65536,
Frequencies backward grid2,32768,6590.78122076136,4744.7038148486,6590.78122076136,2441.46645116905,2441.46645116905,4744.7038148486,,32768,6590.78122076136,4744.7038148486,4394.08517598543,2441.46645116905,2441.46645116905,4744.7038148486,,32768,6590.78122076136,4744.7038148486,4394.08517598543,2441.46645116905,2441.46645116905,4744.7038148486,,65536,4038.69350240663,2907.45539877232,,65536,769.791087370848,2153.38359788626,,65536,441.919629050502,1236.21122072404,,65536,4038.69350240663,2907.45539877232,,65536,1260.69376613816,3526.62001809127,,40000,522.330794401175,1043.75026256561,522.330794401175,806.015953762906,806.015953762906,3200,65536,644.326431775168,1287.53086443467,715.905862023597,994.270312107501,994.270312107501,5000,65536,515.818357835032,1030.73665605246,1432.6667211421,795.966469685577,795.966469685577,2500,65536,769.791087370848,2153.38359788626,,65536,1158.89389194192,2315.76768717434,1158.89389194192,1788.3063841681,1788.3063841681,65536,1955.9732804232,3126.94408357442,2414.7195985997,2414.7195985997,2414.7195985997,65536,4068.59680792274,6504.32081787279,5022.83018303477,5022.83018303477,65536,1304.07061499591,3126.94408357442,1304.07061499591,966.047007513278,966.047007513278,65536,1304.07061499591,3126.94408357442,1304.07061499591,966.047007513278,966.047007513278,65536,1304.07061499591,3126.94408357442,1304.07061499591,966.047007513278,966.047007513278,65536,1306.96601779828,2611.65646925894,1089.17600881653,2016.80011724079,2016.80011724079,65536,1306.96601779828,2611.65646925894,1306.96601779828,2016.80011724079,2016.80011724079,65536,9254.70014412187,6662.45911588131,9254.70014412187,3428.27924197389,3428.27924197389,3428.27924197389,65536,,65536,1808.5703734209,6504.32081787279,1808.5703734209,2009.4616148571,2009.4616148571,1507.23350848771,65536,,65536,1260.69376613816,3526.62001809127,1260.69376613816,1089.5303008951,1089.5303008951,817.224784599495,65536,,65536,1249.45377852189,2496.73115595797,1249.45377852189,1928.0515355533,1156.91772034312,1156.91772034312,65536,,65536,981.402602498862,1961.09203161537,981.402602498862,1514.41559644491,1514.41559644491,1514.41559644491,65536,,65536,775.663443099977,1549.97884730155,775.663443099977,1196.93998189979,718.216642116389,1196.93998189979,65536,,65536,624.806595261057,998.853529130912,624.806595261057,771.345393063828,771.345393063828,771.345393063828,65536,
Frequencies backward grid3,32768,13180.8693307765,9488.71453315307,13180.8693307765,4882.23985354533,4882.23985354533,9488.71453315307,,32768,13180.8693307765,9488.71453315307,8787.47725946546,4882.23985354533,4882.23985354533,9488.71453315307,,32768,13180.8693307765,9488.71453315307,8787.47725946546,4882.23985354533,4882.23985354533,9488.71453315307,,65536,8076.96337809399,5814.4871794789,,65536,1154.59177164216,3229.98052907014,,65536,662.825673001826,1854.26305584048,,65536,8076.96337809399,5814.4871794789,,65536,1890.88651837287,5289.77588285103,,40000,783.450088864467,1565.57928885264,783.450088864467,1208.97782631564,1208.97782631564,3200,65536,966.433867140979,1931.24051345099,1073.8030119774,1491.3496857511,1491.3496857511,5000,65536,773.681960838626,1546.05940592804,2148.95450293331,1193.90412703922,1193.90412703922,2500,65536,1154.59177164216,3229.98052907014,,65536,1738.23948148741,3473.5501694166,1738.23948148741,2682.35821635645,2682.35821635645,65536,2933.82727356954,4690.28347455493,3621.94674893406,3621.94674893406,3621.94674893406,65536,6102.6205794169,9756.20658662932,7533.97063817031,7533.97063817031,65536,1955.9732804232,4690.28347455493,1955.9732804232,1448.9378744464,1448.9378744464,65536,1955.9732804232,4690.28347455493,1955.9732804232,1448.9378744464,1448.9378744464,65536,1955.9732804232,4690.28347455493,1955.9732804232,1448.9378744464,1448.9378744464,65536,1960.33604127015,3917.37171303696,1633.65102996887,3025.08718661587,3025.08718661587,65536,1960.33604127015,3917.37171303696,1960.33604127015,3025.08718661587,3025.08718661587,65536,18508.4273842926,13323.9453477293,18508.4273842926,6855.58566693038,6855.58566693038,6855.58566693038,65536,,65536,2712.58095339916,9756.20658662932,2712.58095339916,3013.91781092046,3013.91781092046,2260.57566526275,65536,,65536,1890.88651837287,5289.77588285103,1890.88651837287,1634.14132379841,1634.14132379841,1225.68305742835,65536,,65536,1874.07216863347,3744.98822955658,1874.07216863347,2891.96880049501,1735.26808220263,1735.26808220263,65536,,65536,1472.01683565926,2941.55097504721,1472.01683565926,2271.53632355671,2271.53632355671,2271.53632355671,65536,,65536,1163.42934820118,2324.90245140328,1163.42934820118,1795.34415421759,1077.25914722217,1795.34415421759,65536,,65536,937.165611329903,1498.23601082932,937.165611329903,1156.97380737117,1156.97380737117,1156.97380737117,65536,
Frequencies backward grid4,32768,26361.0455325976,18976.7359444423,26361.0455325976,9763.78660912073,9763.78660912073,18976.7359444423,,32768,26361.0455325976,18976.7359444423,17574.2613990627,9763.78660912073,9763.78660912073,18976.7359444423,,32768,26361.0455325976,18976.7359444423,17574.2613990627,9763.78660912073,9763.78660912073,18976.7359444423,,65536,16153.5031183682,11628.5507254789,,65536,1924.19313394889,5383.17438920955,,65536,1104.63775741534,3090.36672481987,,65536,16153.5031183682,11628.5507254789,,65536,3151.27201279487,8816.08760875595,,40000,1305.68867562055,2609.23734033593,1305.68867562055,2014.90157001481,2014.90157001481,3671.84839882771,65536,1610.64873529751,3218.65981018888,1789.59730956634,2485.50843137038,2485.50843137038,5000,,,,,,,,65536,1924.19313394889,5383.17438920955,,65536,2896.93065584891,5789.11513152465,2896.93065584891,4470.46187767263,4470.46187767263,65536,4889.53525506092,7816.9622535004,6036.40104571337,6036.40104571337,6036.40104571337,65536,8136.64434678823,13008.0923527961,10045.111089951,10045.111089951,65536,3259.77860408366,7816.9622535004,3259.77860408366,2414.7195985997,2414.7195985997,65536,3259.77860408366,7816.9622535004,3259.77860408366,2414.7195985997,2414.7195985997,65536,3259.77860408366,7816.9622535004,3259.77860408366,2414.7195985997,2414.7195985997,65536,3267.07608300433,6528.80219799754,2722.60106602003,5041.66132198297,5041.66132198297,65536,3267.07608300433,6528.80219799754,3267.07608300433,5041.66132198297,5041.66132198297,65536,37015.8818391619,26646.9177759078,37015.8818391619,13710.1984478155,13710.1984478155,13710.1984478155,65536,,65536,4520.60209111955,16259.978117949,4520.60209111955,5022.83018303477,5022.83018303477,3767.25995213129,65536,,65536,3151.27201279487,8816.08760875595,3151.27201279487,2723.36335797542,2723.36335797542,2042.59958758406,65536,,65536,3123.30894383083,6241.5023742389,3123.30894383083,4819.80332711945,2891.96880049501,2891.96880049501,65536,,65536,2453.2452978589,4902.4688598435,2453.2452978589,3785.7777751122,3785.7777751122,3785.7777751122,65536,,65536,1938.96115542573,3874.74965812114,1938.96115542573,2992.15249691865,1795.34415421759,2992.15249691865,65536,,65536,1561.8836417927,2497.00097317625,1561.8836417927,1928.23063463001,1928.23063463001,1928.23063463001,65536,
Frequencies backward grid5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65536,2693.79449388132,7536.36824850246,,65536,1546.44984049917,4326.4703933275,,,,,,65536,4411.65750338127,12342.3993332941,,40000,1827.9272615478,3652.89539140968,1827.9272615478,2820.82531317344,2820.82531317344,5140.5508730894,,,,,,,,,,,,,,,65536,2693.79449388132,7536.36824850246,,65536,4055.62182841095,8104.68009273564,4055.62182841095,6258.56553782759,6258.56553782759,65536,5867.38924500271,9380.30164246983,7243.62819345983,7243.62819345983,7243.62819345983,,,,,,65536,4563.58392500753,10943.6410313086,4563.58392500753,3380.50131905293,3380.50131905293,65536,4563.58392500753,10943.6410313086,4563.58392500753,3380.50131905293,3380.50131905293,65536,4563.58392500753,10943.6410313086,4563.58392500753,3380.50131905293,3380.50131905293,65536,4573.81612276026,9140.23268193638,3811.55109969295,7058.23545607033,7058.23545607033,65536,4573.81612276026,9140.23268193638,4573.81612276026,7058.23545607033,7058.23545607033,,,,,,,,,,65536,6328.6232203621,22763.7496469424,6328.6232203621,7031.74254752008,7031.74254752008,5273.94422883101,65536,,65536,4411.65750338127,12342.3993332941,4411.65750338127,3812.58538772075,3812.58538772075,2859.5161118321,65536,,65536,4372.54571711229,8738.01651794635,4372.54571711229,6747.63785251459,4048.66951672044,4048.66951672044,65536,,65536,3434.47375849044,6863.38674384752,3434.47375849044,5300.0192256417,5300.0192256417,5300.0192256417,65536,,65536,2714.4929615151,5424.59686426095,2714.4929615151,4188.96083889456,2513.42915998788,4188.96083889456,65536,,65536,2186.60167161817,3495.7659351296,2186.60167161817,2699.48746136838,2699.48746136838,2699.48746136838,65536,
